Nom,Catégorie,Site,Locus,Chronologie,Divinités,Épithètes,Iconographie,"Répertoire textuel ",Roi,Dynastie,"Lexique ""Désert""",Titres de particuliers,Type de sacralisation,Type d'écriture,"Bibliographie ",Commentaire,Matière,Conservation,"Dimensions (H, l, ép.)",Technique,Type de cintrage,Important
SEH 2,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,IVe - Ve dynastie,,Le directeur de (la forteresse) d’Éléphantine,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 33cm ; l. 71cm,Piquetage,,
SEH 3,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy I,VIe dynastie,,"Prince ; prince héréditaire ; chancelier du roi de basse-Égypte ; ami unique ; prêtre lecteur ",,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 30cm ; l. 150cm,Piquetage,,
SEH 4,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy I,VIe dynastie,,Prince ; prêtre-lecteur ; ami unique,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 36cm ; l. 107cm,Piquetage,,
SEH 5,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Inscription d'expédition, Signature",Pépy II,VIe dynastie,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 123cm ; l. 103cm,Piquetage,,
SEH 6,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy II,VIe dynastie,,"Prince ; chancelier du roi de Basse-Égypte ; prêtre lecteur ; ami unique ",,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 85cm ; l. 65cm,Piquetage,,
SEH 7,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy II,VIe dynastie,,Chancelier du roi de basse-Égypte ; prêtre lecteur ; ami unique,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 22cm ; l. 71cm,Piquetage,,
SEH 8,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy II,VIe dynastie,,"Prince ; chancelier du roi de Basse-Égypte ; prêtre lecteur ; ami unique ",,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 56cm ; l. 201cm,Piquetage,,
SEH 9,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy II,VIe dynastie,,Prince ; prêtre lecteur ; ami unique,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 54cm ; l. 8cm,Piquetage,,
SEH 10,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Inscription d'expédition, Signature",Pépy II,VIe dynastie,,Le dignitaire du roi ; chef des auxiliaires nubiens ; chancelier du roi de Basse-Égypte ; ami unique ; prêtre-lecteur ; juge ; scribe ; capitaine de navire,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 93cm ; l. 104cm,Piquetage,,
SEH 11,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Inscription d'expédition, Signature",Pépy II,VIe dynastie,,Commandant des auxiliaires nubiens ; juge ; directeur des scribes,,Hiéroglyphes,Les inscriptions de Séhel,"Plusieurs textes gravés très près les uns des autres et se chevauchant parfois. Deux sont lisibles. À gauche de ces inscriptions, deux groupes de signes incompréhensibles.",,,"(I) h. 6cm ; l. 53cm
(II) h. 20cm ; l. 62cm",Piquetage,,
SEH 12,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"À gauche, un homme debout tourné vers la droite et tenant de la main gauche un bâton de dignitaire.","Auto-présentation (avec/sans filiation), Iconographie, Signature",Pépy II,VIe dynastie,,chef des scribes des équipages ; supérieur des secrets de toutes les affaires,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 137cm ; l. 76cm,Piquetage,,
SEH 13,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy II,VIe dynastie,,serviteur du roi ; directeur des scribes des équipages ; capitaine du navire ; directeur des scribes,,Hiéroglyphes,Les inscriptions de Séhel,Un père portant des titres importants accompagné de son fils sans titre.,,,h. 93cm ; l. 104cm,Piquetage,,
SEH 14,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,"Une série de quatre personnages tournés vers la droite. Le premier et le dernier homme tiennent de la main gauche un bâton de dignitaire ; le dernier tient également, de la main droite, une pièce d'étoffe.","Auto-présentation (avec/sans filiation), Iconographie, Signature",Pépy II,VIe dynastie,,digniteur du roi ; chef des auxiliaires nubiens,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 70cm ; l. 101cm,Piquetage,,
SEH 15,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,ami unique,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 26cm ; l. 36cm,Piquetage,,
SEH 16,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,ḫȝs.wt (pays étrangers),ami unique ; prince héréditaire ; chancelier du roi de Basse-Égypte ; prêtre-lecteur ; directeur des pays étrangers,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 24cm ; l. 136cm,Piquetage,,
SEH 17,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,ami unique ; prince ; prêtre-lecteur ;,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 27cm ; l. 117cm,Piquetage,,
SEH 18,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,prince ;,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 27cm ; l. 95cm,Piquetage,,
SEH 19,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,Prince ; prêtre lecteur ; ami unique,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 27 cm ; l. 95 cm,Piquetage,,
SEH 20,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"En dessous et à gauche du texte, un homme debout tourné vers la droite. Devant lui une forme non identifié.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,,,serviteur du roi ; ami unique ; directeur […],,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 53 cm ; l. 70 cm,Piquetage,,
SEH 21,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 33 cm ; l. 16 cm,Piquetage,,
SEH 22,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,À gauche deux hommes debout tournés vers la droite ; celui de droite présente un pain d’offrande.,"Auto-présentation (avec/sans filiation), Iconographie, Signature",,,,Ami unique,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 17 cm ; l. 127 cm,Piquetage,,
SEH 23,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,6,,Ami unique,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 6 cm ; l. 8 cm,Piquetage,,
SEH 24,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy I,VIe dynastie,,Dignitaire du roi ; chef des auxiliaires nubiens,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 63 cm ; l. 25 cm,Piquetage,,
SEH 25,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,Dignitaire du roi ; chef des auxiliaires nubiens ; serviteur du roi,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 20 cm ; l. 40 cm,Piquetage,,
SEH 26,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"À gauche du texte un homme debout tourné vers la droite et tenant de la main gauche un bâton de dignitaire. Derrière lui, une forme qui évoque la silhouette d’un animal, probablement une girafe.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,VIe dynastie,,Dignitaire du roi,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 42 cm ; l. 57 cm,Piquetage,,
SEH 27,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,Image d’un homme debout tourné vers la droite.,"Auto-présentation (avec/sans filiation), Iconographie, Signature",,VIe dynastie,,Dignitaire du roi,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 55 cm ; l. 20 cm,Piquetage,,
SEH 28,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"Deux hommes debout tournés vers la droite. Celui de droite tient de la main gauche un bâton de dignitaire et, de la droite, une pièce d’étoffe (?). Le second tient de la main droite une pièce d’étoffe (?). Une silhouette inachevée d’Ânouqet datant du Nouvel Empire est aussi présente.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,VIe dynastie,,Dignitaire du roi ; prêtre lecteur,,Hiéroglyphes,Les inscriptions de Séhel,"Un de personnages recouvre en partie une ligne de texte, antérieure donc aux personnages.",,,h. 27 cm ; l. 63 cm,Piquetage,,
SEH 29,Inscription rupestre,Séhel,Bibi togog est,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,Serviteur du roi,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 52 cm ; l. 22 cm,Piquetage,,
SEH 30,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"En dessous du texte, deux hommes d’abouts tournés vers la droite.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,VIe dynastie,,Serviteur du roi,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 10 cm ; l. 28 cm,Piquetage,,
SEH 31,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,Serviteur du roi ; inspecteur ; scribe du transport,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 71 cm ; l. 45 cm,Piquetage,,
SEH 32,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,Un homme debout tourné vers la droite et présentant de la main gauche un pain d’offrande.,"Auto-présentation (avec/sans filiation), Formule d'offrande, Iconographie, Signature",,VIe dynastie,,Serviteur du roi ; inspecteur ; scribe du transport,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 42 cm ; l. 38 cm,Piquetage,,
SEH 33,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"Au-dessous du texte, un homme debout tourné vers la droite et qui tient de la main gauche un bâton de dignitaire.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,VIe dynastie,,Serviteur du roi ; inspecteur ; scribe du transport,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 59 cm ; l. 69 cm,Piquetage,,
SEH 34,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,Chancelier du roi de basse-Égypte,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 25 cm ; l. 30 cm,Piquetage,,
SEH 35,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,Juge ; scribe,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 55 cm ; l. 78 cm,Piquetage,,
SEH 36,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",Pépy I,VIe dynastie,,Dignitaire du roi ; inspecteur des taches au palais,,Hiéroglyphes,Les inscriptions de Séhel,L’inscription a été faite par un père et fils qui portaient exactement les mêmes titres.,,,h. 46 cm ; l. 50 cm,Piquetage,,
SEH 37,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,Chancelier du dieu,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 15 cm ; l. 20 cm,Piquetage,,
SEH 38,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,Trois hommes debout trouvés vers la droite.,"Auto-présentation (avec/sans filiation), Iconographie, Signature",,VIe dynastie,,Capitaine de navire,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 95 cm ; l. 85 cm,Piquetage,,
SEH 39,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,Capitaine de navire,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 10 cm ; l. 30 cm,Piquetage,,
SEH 40,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,Capitaine de navire,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 10 cm ; l. 57 cm,Piquetage,,
SEH 41,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,Capitaine de navire,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 45 cm ; l. 13 cm,Piquetage,,
SEH 42,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"En dessous de l’inscription, un personnage tourné vers la droite; courbé et brandissant (?) un objet non identifié.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,VIe dynastie,,Capitaine de navire,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 43 cm ; l. 53 cm,Piquetage,,
SEH 43,Inscription rupestre,Séhel,Bibi togog est,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,Capitaine de navire ; directeur des scribes,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 25 cm ; l. 31 cm,Piquetage,,
SEH 44,Inscription rupestre,Séhel,Bibi togog est,Ancien Empire,,,"En dessous, deux personnages superposés, d’abouts, tournés vers la droite.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,VIe dynastie,,Capitaine de navire ; directeur des scribes ; dignitaire du roi,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 64 cm ; l. 60 cm,Piquetage,,
SEH 45,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"À gauche de l’inscription, deux hommes debout tournés vers la droite. Celui d’en haut tient de la main gauche un bâton de dignitaire. Le second tient horizontalement de la main droite un sceptre (bras gauche en partie perdu).","Auto-présentation (avec/sans filiation), Iconographie, Signature",,,,Capitaine de navire,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 75 cm ; l. 62 cm,Piquetage,,
SEH 46,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,Chef des équipages,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 67 cm ; l. 15 cm,Piquetage,,
SEH 47,Inscription rupestre,Séhel,Bibi togog est,Ancien Empire,,,"À gauche, deux colonnes restées illisibles, par-dessus, une silhouette d’homme debout tourné vers ma gauche, sans doute inachevée. En dessous, un homme debout tourné vers la gauche et tenant de la main gauche une pièce d’étoffe.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,,,Chef des scribes des équipages,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 72 cm ; l. 74 cm,Piquetage,,
SEH 48,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,Dignitaire du roi ; chef des auxiliaires nubiens,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 60 cm ; l. 25 cm,Piquetage,,
SEH 49,Inscription rupestre,Séhel,Hussein togog,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,Dignitaire du roi ; chef des auxiliaires nubiens,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 42 cm ; l. 20 cm,Piquetage,,
SEH 50,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,Une ligne et une colonne de texte encadrent un home debout tourné vers la droite tenant de la main gauche un bâton de dignitaire.,"Auto-présentation (avec/sans filiation), Iconographie, Signature",,VIe dynastie,,Dignitaire du roi ; chef des auxiliaires nubiens,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 38 cm ; l. 29 cm,Piquetage,,
SEH 51,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,Un homme debout tourné vers la gauche.,"Auto-présentation (avec/sans filiation), Iconographie, Signature",,VIe dynastie,,Chef des auxiliaires nubiens ; dignitaire du roi,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 40cm ; l. 44cm,Piquetage,,
SEH 52,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,Chef des auxiliaires nubiens ; dignitaire du roi,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 30cm ; l. 47cm,Piquetage,,
SEH 53,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,Dignitaire du roi ; chef des auxiliaires nubiens,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 36cm ; l. 115cm,Piquetage,,
SEH 54,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,Signature,,VIe dynastie,,,,Hiéroglyphes,Les inscriptions de Séhel,"Inscription très effacé, traduction impossible.",,,h. 16cm ; l. 23cm,Piquetage,,
SEH 55,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,VIe dynastie,,Dignitaire du roi ; chef des auxiliaires nubiens,,Hiéroglyphes,Les inscriptions de Séhel,Seulement les titres ont été gravés.,,,h. 20cm ; l. 23cm,Piquetage,,
SEH 56,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"Deux hommes debout tournés vers la droite et tenant de la main gauche un bâton de dignitaire. Sous la figure des hommes, il s’ajoute la figure d’un homme debout trouvé vers la droite.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,,,Commandant des auxiliaires nubiens,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 87cm ; l. 70cm,Piquetage,,
SEH 57,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,Prêtre-lecteur ; lieutenant des recrues ; ami unique,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 68cm ; l. 18cm,Piquetage,,
SEH 58,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,IVe dynastie,,prêtre de Satet ; serviteur du roi ; directeur des prêtres de Satet,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 36cm ; l. 115cm,Piquetage,,
SEH 59,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,IVe dynastie,,directeur des prêtres de Satet,,Hiéroglyphes,Les inscriptions de Séhel,"Inscription très effacé, traduction impossible.",,,h. 32cm ; l. 49cm,Piquetage,,
SEH 60,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,IVe dynastie,,Prêtre de Satet,,Hiéroglyphes,Les inscriptions de Séhel,Seulement les titres ont été gravés.,,,h. 27cm ; l. 55cm,Piquetage,,
SEH 61,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,En dessous à gauche du texte un homme debout tourné vers la droite brandit apparement deux instruments cultuels.,"Auto-présentation (avec/sans filiation), Iconographie, Signature",,IVe dynastie,,Directeur des prêtres de Satet,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 52cm ; l. 91cm,Piquetage,,
SEH 62,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,"L’inscription recouvre ou est recouverte par l’image d’un homme debout trouvé vers la droite. Au-dessus et à droite, un autre homme debout et tourné vers la droite.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,IVe dynastie,,Directeur des prêtres de Satet,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 32cm ; l. 57cm,Piquetage,,
SEH 63,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"10 hommes sont représentés debout, portant un pagne court dont neuf sont tournés vers la droite et un est tourné vers la gauche. 5 d’entre eux tiennent de la main gauche un bâton de dignitaire. 1 d’entre eux tient un pain d’offrande de la main gauche. 1 d’entre eux tint de deux mains des objets cultes difficile à identifier. 1 d’entre eux apparement lève les bras en adoration.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,VIe dynastie,,prêtre lecteur ; ami unique ; directeur des prêtres de Satet Hotep ; directeur des prêtres ; inspecteur et serviteur du roi ; prêtre,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 36cm ; l. 115cm,Piquetage,,
SEH 64,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,directeur des prêtres ; prince ; chancelier du roi de Basse-Égypte ; prêtre-lecteur ; ami unique,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 25cm ; l. 133cm,Piquetage,,
SEH 65,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"Au-dessous du texte, un homme debout tourné vers la droite et tenant de la main gauche un bâton de dignitaire. Dans la partie inférieure, un ensemble de dignes disposés en colonnes.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,,,Inspecteur ; directeur des prêtres,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 139cm ; l. 60cm,Piquetage,,
SEH 66,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"Au-dessus du texte, un homme debout tourné vers la droite et que apparement, tient de la main gauche un instrument cultuel.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,,,"Directeur des prêtres, Inspecteur",,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 52cm ; l. 42cm,Piquetage,,
SEH 67,Inscription rupestre,Séhel,BIbi togog ouest,Ancien Empire,,,"Groupement de plusieurs inscriptions difficiles à séparer les unes des autres. Cinq hommes debout tournés vers la droite. Trois d’entre eux tiennent un bâton de dignitaire. Celui du bas à gauche présente apparement deux instruments cultuels. Une ligne de texte accompagne les deux personnages du haut. À droite, un homme debout tourné vers la droite.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 93cm ; l. 135cm,Piquetage,,
SEH 68,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 20cm ; l. 79cm,Piquetage,,
SEH 69,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,Signature,,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 29cm ; l. 63cm,Piquetage,,
SEH 70,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 30cm ; l. 45cm,Piquetage,,
SEH 71,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,,,,,,,,Hiéroglyphes,Les inscriptions de Séhel,Le texte n’a pas pu être traduit.,,,h. 39cm ; l. 17cm,Piquetage,,
SEH 72,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,"Un homme debout tourné vers la droite. Il tient de la main gauche un bâton de dignitaire et de la main droite, horizontalement, un sceptre. Derrière le personnage, à la hauteur du coude, possiblement, un signe ânkh.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 25cm ; l. 22cm,Piquetage,,
SEH 73,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,Un homme debout tourné vers la droite. Il tient de la main gauche un bâton de dignitaire et de la main droite un sceptre.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 38cm ; l. 19cm,Piquetage,,
