Nom,Catégorie,Site,Locus,Chronologie,Divinités,Épithètes,Iconographie,"Répertoire textuel ",Roi,Dynastie,"Lexique ""Désert""",Titres de particuliers,Type de sacralisation,Type d'écriture,"Bibliographie ",Commentaire,Matière,Conservation,"Dimensions (H, l, ép.)",Technique,Type de cintrage,Important
SEH 74,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,"Ensemble de cinq personnages. À gauche, un homme debout tourné vers la droite. Il tient de la main gauche un bâton de dignitaire. De son bras droit replié, il présente un pain d’offrande (ou peut-être un vase-hes). À droite, quatre hommes debout; tournés vers la droite et disposés en triangle. Le personnage en bas à gauche tient, de son bras gauche, un bâton de dignitaire ; l’homme à droite tient, apparemment, verticalement deux instruments cultuels.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,(homme à gauche) h. 31cm ; l. 63cm ; (hommes à droite) h. 49cm ; l. 53cm,Piquetage,,
SEH 75,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,Un homme debout tourné vers la gauche.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 25cm ; l. 15cm,Piquetage,,
SEH 76,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,"Un homme debout tourné vers la droite. Il tient de la main gauche un bâton de dignitaire et de la main droite un sceptre. Derrière lui, à hauteur du torse, le nombre vingt et un.",,,,,,,,Les inscriptions de Séhel,Le texte n’a pas pu être traduit.,,,h. 21cm ; l. 29cm,Piquetage,,
SEH 77,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,Un homme debout tourné vers la gauche et tenant de la main droite un bâton de dignitaire.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 43cm ; l. 27cm,Piquetage,,
SEH 78,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,Deux hommes debout tournés vers la gauche. Le premier tient de la main droite un bâton de dignitaire et de la main gauche une pièce d’étoffe. Le personnage plus petit qui le suit ne le tient pas par la main.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 23cm ; l. 28cm,Piquetage,,
SEH 79,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,Un homme debout tourné vers la gauche.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 17cm ; l. 10cm,Piquetage,,
SEH 80,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,Un homme debout tourné vers la droite et représenté courant (?). Il semble vêtu d’un pagne-chendjit.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,L’image fait penser à la représentation du roi en massacrant les ennemis.,,,h. 67cm ; l. 37cm,Piquetage,,
SEH 81,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,"Six hommes debout, cinq tournés vers la gauche et un tourné vers la droite; quatre d’entre eux ont un bâton de dignitaire. À droite, deux personnages du Nouvel Empire.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 89cm ; l. 116cm,Piquetage,,
SEH 82,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,Cinq hommes debout tournés vers la gauche. Le premier et le dernier présentent un pain d’offrande.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 20cm ; l. 13cm,Piquetage,,
SEH 83,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,Trois hommes debout tournés vers la droite et tenant un bâton de dignitaire.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. Des personnages de 27cm à 30cm,Piquetage,,
SEH 84,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,"Plusieurs personnages indépendants les uns des autres. L’homme de plus grand, qui est également celui dont la gravure est la plus soignée, est tourné vers la gauche. Il présente un pain d’offrande de la main droite et tient une pièce d’étoffe (?) De la main gauche. Il est encadré de deux hommes tournés vers la droite, à une échelle plus petite. Tous deux tiennent verticalement de la main gauche un bâton court. Au-dessous, un homme tourné vers la droite présente un pain de la main gauche.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,Personnage de gauche :h. 40cm ; l. 24cm ; personnage de droite : h. 20cm ; l. 14cm,Piquetage,,
SEH 85,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,Deux hommes debout tournés vers la gauche.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 25.7cm ; l. 20cm,Piquetage,,
SEH 86,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,Ensemble de signes et de personnages,Iconographie,,,,,,,Les inscriptions de Séhel,"L’interprétation de Morgan y voit une inscription, mais ce n’est pas prouvé.",,,h. 100cm ; l. 75cm,Piquetage,,
SEH 87,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,"Un homme debout, tourné vers la droite.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 19cm ; l. 14cm,Piquetage,,
SEH 88,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,"Deux personnages l’un au-dessus de l’autre. En haut, un petit personnage, les deux bras levés à hauteur de la tête qui est peut-être représentée en face. En dessous, un homme debout, tourné vers la gauche, bras gauche le long du corps et tenant de la main droite un bâton de dignitaire.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,Personnage aux bras levés : h. 15cm ; l. 12cm ; Personnage en dessous : h. 18cm ; l. 15cm,Piquetage,,
SEH 89,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,"Un homme debout tourné vers la droite. Il tient de la main gauche un bâton de dignitaire et de la main droite, placé le long du corps, une pièce d’étoffe (?).","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 27cm ; l. 23cm,Piquetage,,
SEH 90,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,"Un homme debout tourné vers la droite. Il tient de la main gauche un bâton de dignitaire et de la main gauche, placé le long du corps, une pièce d’étoffe (?).","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 27cm ; l. 19cm,Piquetage,,
SEH 91,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,"Un homme debout tourné vers la droite et tenant de la main gauche un bâton de dignitaire ; devant lui, peut-être les trans d’un texte très effacé.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 33cm ; l. 38cm,Piquetage,,
SEH 92,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,"En haut à gauche, un homme debout, tourné vers la droite ; en bas à gauche, un homme debout tourné vers la droite.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,"En dessous et à droite de personnages, possibles traces d’une inscription illisibles",,,Homme du haut : h. 26cm ; l. 15cm ; homme du bas : h. 22cm ; l. 11cm,Piquetage,,
SEH 93,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,"Un homme debout tourné vers la gauche et présentant un objet vertical. De la main gauche, il tient une pièce d’étoffe (et non un sceptre comme pourrait faire penser la ligne horizontale trop longue).","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 28cm ; l. 15cm,Piquetage,,
SEH 94,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,"Un homme debout tourné vers la droite. Il tient de la main gauche un bâton de dignitaire et de la main droite, placé le long du corps, une pièce d’étoffe.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 28cm ; l. 18cm,Piquetage,,
SEH 95,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,"Un homme debout tourné vers la droite. Il tient de la main gauche un bâton de dignitaire, main droite le long du corps.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 18cm ; l. 11cm,Piquetage,,
SEH 96,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,Un homme debout tourné vers la droite. Il tient de ses deux mains tendues devant lui un objet aux contours difficilement identifiables.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 21cm ; l. 16cm,Piquetage,,
SEH 97,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,Deux hommes debout tournés vers la droite.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 24cm ; l. 40cm,Piquetage,,
SEH 98,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,Deux hommes debout tournés vers la gauche,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 31cm ; l. 14cm,Piquetage,,
SEH 99,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,Un homme debout tourné vers la droite.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 60cm ; l. 58cm,Piquetage,,
SEH 100,Inscription rupestre,Séhel,Hussein togog ouest,Ancien Empire,,,Un homme debout tourné vers la droite.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 28cm ; l. 18cm,Piquetage,,
SEH 101,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,Un homme debout tourné vers la droite. Il tient de la main gauche un bâton de dignitaire et de la droite un sceptre.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 27cm ; l. 17cm,Piquetage,,
SEH 102,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,Trois ou quatre personnages recouverts par une inscriptions postérieure.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 48cm ; l. 64cm,Piquetage,,
SEH 103,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,Un homme debout tourné vers la droite avec le bras doit le long du corps et le bras gauche levé.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 18cm ; l. 13cm,Piquetage,,
SEH 104,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,Deux hommes debout tournés vers la droite. Celui de droite tient un bâton de dignitaire et une pièce d’étoffe. Le dessus de celui de gauche est inachevé.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 31cm ; l. 79cm,Piquetage,,
SEH 105,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"Deux hommes se faisant face. Celui de gauche est court, ses deux bras pendent le long du corps. Le personnage de droite a les deux bras rendus au-dessus de la tête.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,"La position de l’homme de droite n’est pas inconnu, on connaît des représentation pareil datant de l’époque archaïque.",,,h. 33cm ; l. 28cm,Piquetage,,
SEH 106,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,Deux hommes debout tournés vers la droite. Celui de gauche a les bras le long du corps. Celui de droite lève le bras gauche dans ce qui est peut-être un geste d’adoration.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 51cm ; l. 33cm,Piquetage,,
SEH 107,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"Deux hommes debout tournés vers la gauche, présentant de la main droite un pain d’offrande. Entre les deux, un troisième personnage, de plus petite taille et d’un style de gravure différent qui semble avoir été ajouté postérieurement aux deux hommes.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 19cm ; l. 22cm,Piquetage,,
SEH 108,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,Un homme debout tourné vers la gauche. Son bras gauche le long du corps et il présente un pain d’offrande de la main droite.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,"h. 23,5cm ; l. 14cm",Piquetage,,
SEH 109,Inscription rupestre,Séhel,Bibi togog ouest,"Ancien Empire, Incertaine",,,"En haut, à droite, nous avons apparemment l’image d’un homme armé d’un arc et tourné vers la gauche. Les autres traces semblent des signes inachevés.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,,Piquetage,,
SEH 110,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"Un homme debout tourné vers la droite, les deux bras le long du corps.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 18cm ; l. 8cm,Piquetage,,
SEH 111,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,"Un homme debout tourné vers la droite, brandit d’un bâton vertical de sa main gauche et hale un objet aux contours mal définis (un bateau, peut-être) de son bras droit tendu. À gauche un personnage inachevé.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 22cm ; l. 26cm,Piquetage,,
SEH 112,Inscription rupestre,Séhel,Bibi togog ouest,Ancien Empire,,,Un homme debout tourné vers la droite. Son bras droit pend le long du corps et son bras gauche est relevé en signe d’adoration.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 23cm ; l. 14cm,Piquetage,,
SEH 113,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,Un homme debout tourné vers la gauche.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 25cm ; l. 13cm,Piquetage,,
SEH 114,Inscription rupestre,Séhel,Hussein togog est,Ancien Empire,,,"Deux hommes debout et tenant un bâton de dignitaire. Celui de gauche est tourné vers la gauche, celui de droite, vers la droite.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,personnage de gauche : h. 48cm ; l. 32cm ; personnage de droite : h. 47cm ; l. 42cm,Piquetage,,
SEH 115,Inscription rupestre,Séhel,Bibi togog sud,"Ancien Empire, Incertaine",,,"Un homme debout tourné vers la droite et tenant un poisson. Au-dessous, un homme plus petit debout tourné vers la gauche. En haut du personnage le plus grand, il paraît avoir l’image d’un Cosson. À droite de celui-ci, un homme debout tourné vers la gauche.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 43cm ; l.26cm,Piquetage,,
SEH 116,Inscription rupestre,Séhel,Bibi togog sud,"Ancien Empire, Incertaine",,,"Un homme debout bras écartés, tenant apparemment des poissons.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 13cm ; l. 8cm,Piquetage,,
SEH 117,Inscription rupestre,Séhel,Bibi togog sud,"Ancien Empire, Incertaine",,,"Représentation très schématique d’un homme debout, les bras écartés, tenant des poisson et, à gauche, une trace indistincte.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 17cm ; l. 16m,Piquetage,,
SEH 118,Inscription rupestre,Séhel,Bibi togog sud,Ancien Empire,,,Un poisson représenté verticalement.,Iconographie,,,,,,,Les inscriptions de Séhel,,,,h. 44cm ; l. 14cm,Piquetage,,
SEH 119,Inscription rupestre,Séhel,Bibi togog est,Ancien Empire,,,"Un homme debout, les deux bras le long du corps et tourné vers la droite.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 19cm ; l. 12cm,Piquetage,,
SEH 120,Inscription rupestre,Séhel,Bibi togog est,"Ancien Empire, Incertaine, Moyen Empire",,,"À l’intérieur d’un cadre rectangulaire, un homme debout tourné vers la droite. Il semble avoir les deux bras le long du corps.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 28cm ; l.20cm,Piquetage,,
SEH 121,Inscription rupestre,Séhel,Bibi togog est,Ancien Empire,,,"Un homme debout tourné vers la droite. Il tient de la main gauche un bâton de dignitaire et de la droite, un sceptre.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,"h. 18cm ; l. 8,5cm",Piquetage,,
SEH 122,Inscription rupestre,Séhel,Bibi togog est,Ancien Empire,,,"À la partie supérieure, deux hommes debout tournés vers la droite. Tous deux, de la main droite le long du corps, tiennent une pièce d’étoffe (?) ; celui de droite présente un pain d’offrande et celui de gauche un bâton court. En dessous, un dessin représente peut-être un personnage court aux bras longs, vu de face.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,personnage de droite : h. 23cm ; l. 20m ; personnage de gauche : h. 27cm ; l. 19cm ; personnage du bas : h. 15cm ; l. 20cm,Piquetage,,
SEH 123,Inscription rupestre,Séhel,Bibi togog est,Ancien Empire,,,"Un homme debout tourné vers la gauche et présentant un pain d’offrande. De la main droite, il tient une pièce d’étoffe (?). Le personnage est placé dans un bateau à rames et gouvernail orienté dans le même sens.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h.38cm ; l. 60cm,Piquetage,,
SEH 124,Inscription rupestre,Séhel,Bibi togog est,Ancien Empire,,,Un homme debout tourné vers la droite,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 42cm ; l. 24cm,Piquetage,,
SEH 125,Inscription rupestre,Séhel,Bibi togog est,Ancien Empire,,,"L’inscription regroupe une vingtaine d’homes dans des attitudes que l’on retrouve sur d’autres roches. Cinq d’entre eux ont dans la main droite une pièce d’étoffe (?) et cinq d’autres tiennent également devant eux un bâton de dignitaire. Ils ne sont pas tous orientés de la même façon. Sur la droite, un petit personnage est figuré de face, ses jambes sont très arquées et son sexe bien visible, sa tête est particulièrement large (des graffiti comparables peuvent être trouvés en Nubie, à Sarras, par exemple).","Auto-présentation (avec/sans filiation), Iconographie",,,,,,Hiéroglyphes,Les inscriptions de Séhel,"C’est une inscription unique à Séhel, une situation exceptionnelle. L’inscription est en effet gravé très en hauteur et relativement isolé par rapport au reste des inscriptions. Le personnage pris dans un rectangle et gravé selon une technique différente (en haut à gauche) pourrait dater du moyen Empire. Sur le bloc du milieu, parmi les personnages, se distingue une inscriptions ""Ouserânqet"" bien lisible avec, en dessous, quelques signes qui doivent appartenir à la même période.",,,h. 133cm ; l. 230cm,gravure,,
SEH 126,Inscription rupestre,Séhel,Bibi togog est,Ancien Empire,,,Deux hommes debout tournés vers la droite.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 45cm ; l. 41cm,Piquetage,,
SEH 127,Inscription rupestre,Séhel,Bibi togog est,Ancien Empire,,,Trois hommes debout trouvés vers la gauche. Celui de droite semble porter une enseigne.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 38cm ; l. 70cm,Piquetage,,
SEH 128,Inscription rupestre,Séhel,Bibi togog est,"Ancien Empire, Moyen Empire",,,"À l’intérieure d’une surface rectangulaire préparée, un homme debout tourné vers la gauche. Son bras gauche pend le long du corps et il présente un objet vertical de la main droit.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,"Plusieurs personnages pris ainsi à l’intérieur d’un cadre ont été relevés par J. de Morgan, sur la route de Philae à Assouan, dans la région de Mahatta.",,,h. 35cm ; l. 30cm,Sculpture en creux,,
SEH 129,Inscription rupestre,Séhel,Moussein togog,Ancien Empire,,,Un homme debout tourné vers la droite. Il tient de la main gauche un bâton de dignitaire et son bras droit pend le long du corps.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 13cm ; l. 10cm,Piquetage,,
SEH 130,Inscription rupestre,Séhel,Hussein togog sommet,Ancien Empire,,,"Un homme debout tourné vers la gauche. De la main droite, il tient devant lui un bâton de dignitaire.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 19cm ; l. 19cm,Piquetage,,
SEH 131,Inscription rupestre,Séhel,Hussein togog sommet,Ancien Empire,,,"Deux hommes debout et se faisant face (rien ne prouve qu’il s’agisse de la même scène). Celui de gauche, piqueté plus fermement, est tourné  vers la droite. Son bras droit pend le long du corps et tient un objet touchant terre. De la main gauche, il tient un bâton de dignitaire. Le personnage de droite est tourné vers la gauche. Des deux main, il brandit verticalement un bâton dont la partie supérieure est renflée.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 40cm ; l. 59cm,Piquetage,,
SEH 132,Inscription rupestre,Séhel,Hussein togog sommet,Ancien Empire,,,"Un homme debout tourné vers la droite, le bras droit le long du corps et main gauche tenant un bâton. Devant lui, apparement, une colonne de quatre hiéroglyphes et de part et d’autre de cet ensemble, deux hiéroglyphes isolés,     gravés plus finement et appartenant sans doute à une époque ultérieure.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 37cm ; l. 38cm,Piquetage,,
SEH 133,Inscription rupestre,Séhel,Hussein togog sommet,Ancien Empire,,,Un homme debout tourné vers la gauche et tenant de la main droite un bâton de dignitaire.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 44cm ; l. 27cm,piquetage,,
SEH 134,Inscription rupestre,Séhel,Ras Séhel,Ancien Empire,,,Trois hommes debout tournés vers la droit . Tous trois sont en pagne et ont un trait qui leur barre la poitrine et fait songer à une représentation de la couverture roulée que portent parfois les berges. Le personnage de droite paraît inachevé.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 24cm ; l. 56cm,Piquetage,,
SEH 135,Inscription rupestre,Séhel,Ras Séhel,Ancien Empire,,,"Un homme debout tourné vers la droite. Ses deux bras sont repliés vers le haut. Du bras gauche, il brandit possiblement un instrument cultuel.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 30cm ; l. 21cm,Piquetage,,
SEH 136,Inscription rupestre,Séhel,Ras Séhel,Ancien Empire,,,"Un homme debout tourné vers la gauche. Son bras pend le long du corps ; de son bras droit, il brandit un bâton court.","Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 66cm ; l. 35cm,Piquetage,,
SEH 137,Inscription rupestre,Séhel,Ras Séhel,Ancien Empire,,,Un homme debout tourné vers la droite et tenant de la main gauche un bâton de dignitaire. De la main droite il tient un sceptre.,"Auto-présentation (avec/sans filiation), Iconographie",,,,,,,Les inscriptions de Séhel,,,,h. 29cm ; l. 19cm,Piquetage,,
SEH 138,Inscription rupestre,Séhel,Bibi togog,Incertaine,,,"Un bovidé tourné vers la droite, à l’entrée d’une sorte d’abri sous roche d’environ 1,50m de profondeur sur autant de large.",Iconographie,,,,,,,Les inscriptions de Séhel,,,,h. 52cm ; l. 52cm,piquetage,,
