Nom,Catégorie,Site,Locus,Chronologie,Divinités,Épithètes,Iconographie,"Répertoire textuel ",Roi,Dynastie,"Lexique ""Désert""",Titres de particuliers,Type de sacralisation,Type d'écriture,"Bibliographie ",Commentaire,Matière,Conservation,"Dimensions (H, l, ép.)",Technique,Type de cintrage,Important
SEH 209,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,Um homme debout tourné vers la droite.,"Auto-présentation (avec/sans filiation), Généalogie/ Filiation, Iconographie, Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 22cm ; l. 47cm,piquetage,,
SEH 210,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,"Auto-présentation (avec/sans filiation), Généalogie/ Filiation, Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 12cm ; l. 45cm,Piquetage,,
SEH 211,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,"Auto-présentation (avec/sans filiation), Généalogie/ Filiation, Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 32cm ; l. 43cm,Piquetage,,
SEH 212,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,"Un homme debout tourné vers la droite (crâne rasé, pagne long) et les bras le long du corps.","Auto-présentation (avec/sans filiation), Généalogie/ Filiation, Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 59cm ; l. 39cm,Piquetage,,
SEH 213,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,,,,,,,Hiéroglyphes,Les inscriptions de Séhel,Uniquement deux signes ; inscription inachevée,,,h. 8cm ; l. 8cm,Piquetage,,
SEH 214,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 6cm ; l. 30cm,Piquetage,,
SEH 215,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,"h. 22,5cm ; l. 21,5cm",Piquetage,,
SEH 216,Inscription rupestre,Séhel,Hussein togog est,Moyen Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,Écrit en en écriture cursive,,,h. 19cm ; l. 42cm,Piquetage,,
SEH 217,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,,,,,,,Hiéroglyphes,Les inscriptions de Séhel,Inscription inachevée,,,h. 20cm ; l. 20cm,Piquetage,,
SEH 218,Inscription rupestre,Séhel,Moussein togog,Moyen Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 31cm ; l. 14cm,Piquetage,,
SEH 219,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,Écrit en en écriture cursive,,,h. 13cm ; l. 28cm,Piquetage,,
SEH 220,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 18cm ; l. 31cm,Piquetage,,
SEH 221,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,L’inscription a été gravée au-dessus des personnages debout tenant un bâton de dignitaire datant de l’Ancien Empire.,,,h. 13cm ; l. 26cm,Piquetage,,
SEH 222,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,,,,,,,Hiéroglyphes,Les inscriptions de Séhel,Inscription inachevée,,,h. 8cm ; l. 29cm,Piquetage,,
SEH 223,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 12cm ; l. 17cm,Piquetage,,
SEH 224,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,"Auto-présentation (avec/sans filiation), Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,"h. 24,5cm ; l. 6,5cm",Piquetage,,
SEH 225,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,Satet,,Deux hommes debout tournés vers la droite. Celui de droite tient dans la main gauche un bâton de d’unitaire et date probablement de l’Ancien Empire.,"Auto-présentation (avec/sans filiation), Formule d'offrande",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 7cm ; l. 37cm,Piquetage,,
SEH 226,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,"UN homme debout tourné vers la droite , tenant de la main gauche un bâton de dignitaire et de la main droite un sceptre.","Auto-présentation (avec/sans filiation), Iconographie, Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 47cm ; l. 30cm,Piquetage,,
SEH 227,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,Signature,,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,"h. 15cm ; l. 17,5cm",Piquetage,,
SEH 228,Inscription rupestre,Séhel,Ras Séhel,Moyen Empire,,,,"Généalogie/ Filiation, Signature",,,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,"h. 15cm ; l. 17,5cm",Piquetage,,
SEH 229,Inscription rupestre,Séhel,Hussein togog est,Moyen Empire,,,,,,,,,,Hiéroglyphes,Les inscriptions de Séhel,Inscription inachevée,,,h. 10cm ; l. 31cm,Piquetage,,
SEH 230,Inscription rupestre,Séhel,Bibi togog est,Moyen Empire,,,,,,,,,,Hiéroglyphes,Les inscriptions de Séhel,Inscription inachevée ; écrit en écriture cursive,,,h. 15cm ; l. 8cm,Piquetage,,
SEH 231,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,,,,,,,Hiéroglyphes,Les inscriptions de Séhel,Inscription inachevée,,,"h. 20cm ; l. 52,5cm",Piquetage,,
SEH 232,Inscription rupestre,Séhel,Bibi togog ouest,Moyen Empire,,,,"Auto-présentation (avec/sans filiation), Généalogie/ Filiation, Signature",,XIIIe dynastie,,,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 23cm ; l. 44cm,Gravure,,
SEH 233,Inscription rupestre,Séhel,Bibi togog est,Nouvel Empire,Rê,,,"Date, Décret, Titulature royale",ʿȝ-ḫpr-kȝ-Rʿ (Thoutmosis I),XVIIIe dynastie,,Vice-roi,,Hiéroglyphes,Les inscriptions de Séhel,Répertoire textuel (non normalisé) : Narration royale,,,h. 169cm ; l. 123cm,Relief dans le creux,,
SEH 234,Inscription rupestre,Séhel,Bibi togog est,Moyen Empire,,,,"Date, Discours royale, Décret, Texte commémoratif, Titulature royale",ȝ-ḫpr-kȝ-Rʿ (Thoutmosis I),XVIIIe dynastie,,Vice-roi,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 88cm ; l. 82cm,relief dans le creux,,
SEH 235,Inscription rupestre,Séhel,Hussein togog,Moyen Empire,,,"Deux personnages debout tournés vers la gauche, le bras le long du corps. Un homme coiffé avec une perruque longue, pagne court suivi d’une femme portant aussi une perruque longue et une robe longue moulante.","Auto-présentation (avec/sans filiation), Formule d'offrande, Iconographie",,XVIIIe dynastie,,prêtre-ouâb ; directeur des prêtres,,Hiéroglyphes,Les inscriptions de Séhel,,,,h. 30cm ; l. 42cm,Piquetage,,
Socle SA 779,Socle,Gebel Zeit,"site 1, soubassement du sanctuaire",DPi,Maât,"Maât, fille de Rê",,,,XVIIe - XVIIIe dynastie,,,,,Gebel Zeit II - Le matériel inscrit,"L’objet appartenait à une femme, Henoutsen, mère royale. Dans le socle il y avait probablement une statue de Maât ou la mère royale.",,,,,,
Stèle GZ 1,Stèle,Gebel Zeit,"site 1, surface",Moyen Empire,"Horus, Maât, Rê","Horus, celui qui a élargi le Double-Pays ; Maât fille de Rê","Stèle divisée en deux registres. Le registre inférieur consacré à une inscriptions de deux lignes horizontales. le registre supérieur, dont il ne reste plus que la partie gauche, montre un roi tourné vers la droite vêtu d’un pagne court empesé à devanteau d’orfèvrerie et orné d’une d’une queue cérémonielle. Le roi, le bras gauche le long du corps, tient de sa main le signe ankh. Face à lui se tenait une divinité anthropomorphe tourné vers la gauche dont seuls les pieds sont encore présents, ainsi que la hampe d’un sceptre. ","Iconographie, Prière, Texte commémoratif, Titulature royale",Sḥtp-jb-Rʿ (Séhétépibrê),XIIIe dynastie,,,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Basalte noir,Fragment correspondant à la partie inférieure de la stèle.,"(conservée) h. 9,5cm ; l. 6,9m ; ép. 2,2cm",Inscription gravée,,
Stèle GZ 61,Stèle,Gebel Zeit,"site 1, surface","Incertaine, Nouvel Empire",Hathor,,"Surface délimitée par une liseré, est composée d’un bandeau d’inscription surmonté de la scène suivante : Un roi (tourné vers la gauche) vêtu d’un pagne triangulaire à ceinture et à devanteau double uraeus, orné de la queue cérémonielle, il présente deux vases nou à une déesse anthropomorphe (tournée vers la droite) vêtue d’une longue robe fourreau. Les ras reposant le long u corps, elle tient de la main gauche un sceptre ouadj et un signe Ankh de la main droite. Très probablement Hathor.","Formule d'offrande, Iconographie, Prière",,,,,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Calcaire,Stèle fragmentaire ; la partie supérieure manque et elle est fortement érodée sur le côté droit.,"h. 14,5 cm ; l. 14 cm ; ép. 6 cm",Inscription gravée,,
Stèle SA 49 (JE 98124),Stèle,Gebel Zeit,"site 1, niveau antérieur au sanctuaire",Moyen Empire,,,"  • Face 1 : le roi tourné vers la gauche coiffé de la coiffure khat ornée d’un uraeus, présente un vase probablement à onguent. 
  • Face 2 : Le roi tourné vers la gauche présente un vase (à aiguière ?) à une divinité masculine anthropomorphe trouné vers la droite, barbue, vêtue d’un costume à bretelles et tenant un sceptre ouas. ",Iconographie,Ny-mȝʿ.t-Rʿ (Amenemhat III),XIIe dynastie,,,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Faience bleue,Fragment de la partie supérieure. Peinture et glaçures fondues en plusieurs endroits sur la face 2 (représentant la divinité),H. 8 cm (conservée) ; l. 11 cm ; ép. 3 cm,Stèle probablement cintrée. Traits noirs sur fond bleu. Inscription recto verso,Probablement cintrée,
Stèle SA 156,Stèle,Gebel Zeit,"site 1, niveau antérieur au sanctuaire",Moyen Empire,,,Extrémité de l’aille du disque solaire sous laquelle se trouve un signe ankh.,Iconographie,,XIIe ou XIIIe dynastie ?,,,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Faience bleue,Minuscule fragment de la partie supérieure (cintre).,"(conservée) h. 3cm ; . 3,5cm ; ép. 1,3cm","Stèle cintrée. Verso émaillé. Traits noirs sur fond bleu. ",,
Stèle SA 240,Stèle,Gebel Zeit,"site 1, niveau antérieur au sanctuaire",Moyen Empire,,,"  • Faces 1 et 2 : pied et queue cérémonielle d’un personnage en stature debout, tourné vers la gauche ; il peut s’agir également  d’un personnage féminin agenouillé.",Iconographie,,fin XIIe - XIIIe dynastie ?,ḫȝs.wt (contrées désertiques),,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Faience bleue,Fragment correspondant à l’angle inférieur de la stèle. Décor assez effacé.,"(conservée) h. 7,5 cm ; l. 9,5 cm ; ép. 2,7 cm",Traits noirs sur fond bleu. Inscription recto verso.,,
Stèle SA 305,Stèle,Gebel Zeit,"site 1, niveau antérieur au sanctuaire","DPi, Incertaine, Moyen Empire",,,"  • Face 1 : Tronc et bras gauche d’une divinité masculine tourné vers la droite vêtue d’un costume orné de bandes horizontales contrastantes. une inscription s’ajoute devant lui.
  • Face 2 : un personnage tourné vers la gauche avec un bras fléchi. le reste d’une colonne de texte s’ajoute devant lui. ",Iconographie,,,,,,,Gebel Zeit II - Le matériel inscrit,,Faience bleue,Fragment de la partie médiane de la stèle. Décor assez effacé.,"(conservée) h. 7,5 cm ; l. 5,5 cm ; ép. 3,5 cm",Stèle cintrée. Traits noirs sur fond bleu. Inscription recto verso.,,
Stèle SA 312,Stèle,Gebel Zeit,"site 2, enclos 398","DPi, Incertaine",,,,"Auto-présentation (avec/sans filiation), Signature",,XIIIe - début XVIe dynastie,,Maîtresse de maison,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,"C’est la stèle d’une femme, toute seule !",Grès,bonne ; éclat dans la partie inférieure.,"h. 18,3cm ; l. 14cm ; ép. 11,1cm",inscription incisée.,,
Stèle SA 383,Stèle,Gebel Zeit,"site 2, enclos 380","DPi, Incertaine",,,,"Auto-présentation (avec/sans filiation), Signature",,XIIIe - début XVIe dynastie,,Connu du roi,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Grès,Inscription en partie effacée et difficilement lisible. Verso de la stèle aujourd’hui illisible.,"h. 34cm ; l. 23cm ; ép. 9,7cm",inscription incisée.,,
Stèle SA 384,Stèle,Gebel Zeit,"site 2, enclos 380","DPi, Incertaine",,,,"Auto-présentation (avec/sans filiation), Signature",,XIIIe - début XVIe dynastie,,Connu du roi,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Grès,"Assez mauvaise, partie droite manquante.","h. 34cm ; l. 24cm ; ép. 9,5cm",inscription incisée.,,
Stèle SA 421,Stèle,Gebel Zeit,"site 1, sanctuaire","Incertaine, Nouvel Empire",Hathor,,"Probablement un souverain tourné vers la droite et coiffé d’une couronne difficilement identifiable (mais probablement une couronne pschent) et vêtu d’un pagne empesé, avec le bras droit le long du corps et le gauche fléchi, faisant peut-être une offrande. Il ne touche pas le sol. Il est représenté au milieu de deux divines en taille héroïque. Derrière lui une déesse féminine (probablement Hathor dans sa forme anthropomorphe) tournée vers la droite vêtue d’une longue robe-fourreau, avec le bras droit le long du corps et le gauche fléchi.",Iconographie,,,,,,,Gebel Zeit II - Le matériel inscrit,,Calcaire,Fragment de la partie médiane. Traces de peinture rouge et noire..,"h. 9,7cm ; l. 10,5cm ; ép. 2,8cm",figures gravées,,
Stèle SA 486,Stèle,Gebel Zeit,"site 1, sanctuaire",Incertaine,,,,"Auto-présentation (avec/sans filiation), Formule d'offrande",,,,Chancelier du roi ; ami unique,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Calcaire,Fragment de la partie inférieure. Très mal conservé.,"h. 9cm ; l. 19,5cm ; ép. 7,5cm",signes gravés,,
Stèle SA 546,Stèle,Gebel Zeit,"site 1, sanctuaire","DPi, Incertaine, Moyen Empire",,,"Disque solaire ailé sous lequel semble avoir subsisté la coiffure hathorique. ",Iconographie,,fin XIIe - XVIe dynastie ?,"  ",,,,Gebel Zeit II - Le matériel inscrit,,Faience bleue,fragment du cintre.,"h. 4,7cm ; l. 4,7cm ; 1,5cm",Figure en relief dans le creux et peintes en noire. Verso non décoré,,
Stèle SA 547,Stèle,Gebel Zeit,"site 1, niveau antérieur au sanctuaire","Incertaine, Moyen Empire",,,"Cintre de la stèle figurant un anneau chen encadré de deux yeux oudjat. Quelques traits non identifiables dans la partie inférieure du cintre. ",Iconographie,,fin XIIe - XIIIe dynastie ?,,,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Faience bleue,Fragment correspondant à l’angle inférieur de la stèle.,"Fragments de base : h. 3,7 cm ; l. 4 cm ; ép. 1,3 cm ; fragment de cintre conservé : h. 3 cm ; l. 5 cm ; ép. 1,3 cm","Signes en relief dans le creux et peints en noir sur fond bleu. Tranche émaillée. Verso non émaillée. Inscription seulement au recto ; surface recto « grumeleuse », non lisse.",Stèle cintrée,
Stèle SA 549,Stèle,Gebel Zeit,"site 1, dépôt du sanctuaire",DPi,"Hathor, Min",,"Un personnage trouné vers la droite, les bras le long du corps, avance vers un naos où il se trouve face à un dieu momiforme, Min, tourné également vers la droite et une face à une déesse, Hathor, tournée vers la gauche, en sa forme anthropomorphe, tenant un sceptre. ",Iconographie,Nb-ḫpr-Rʿ Jntf (Nebkhéperrê Antef),XVIIe dynastie,,,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Calcaire,Moitié inférieure.,"h. 29cm ; l. 26,5cm ; 4,5cm",Stèle gravée.,,
Stèle SA 550,Stèle,Gebel Zeit,site 1,Moyen Empire,Min,"  • Min de Coptos ; Celui de Béhédet ; Le grand dieu ; Seigneur du ciel ; Seigneur de Mésen","À droite le dieu Min tourné vers la gauche se tient devant la chapelle sénet. Face à lui le roi, tourné vers la droite, portant une couronne composée d’un mortier fiché de deux hautes plumes, présentant de la main gauche un pot à onguent et de la main droite un signe ankh. Entre le roi et Min se trouve une table chargée d’offrandes.","Iconographie, Texte commémoratif, Titulature royale",Ny-mȝʿ.t-Rʿ (Amenemhat III),XIIe dynastie,,,Active,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Calcaire fin,"complète en deux morceaux, décor très effacé, partie inférieure presque illisible","H. 44cm, l. 22cm, é. 9cm",décor et texte au trait rouge,stèle cintrée,
Stèle SA 551,Stèle,Gebel Zeit,"site 1, dépôt du sanctuaire","Incertaine, Nouvel Empire",,,"Un personnage masculin debout tourné vers la gauche se tient face à une divinité féminine tournée vers la droite (probablement Hathor), tenant de sa main droite un signe ankh. ",Iconographie,,XVIIIe dynastie,,,,,Gebel Zeit II - Le matériel inscrit,,Calcaire,Fragment correspondant à la moitié inférieure de la stèle.,"h. 11,5cm ; l. 14cm ; ép. 2,4cm",figures et signes en relief dans le creux. Traces de peinture rouge (jambes) et noire (signes).,,
Stèle SA 552,Stèle,Gebel Zeit,"site 1, dépôt du sanctuaire","DPi, Incertaine, Nouvel Empire",Hathor,"Hathor, maîtresse des contrées désertiques","un personnage masculin tourné vers la droite présentant de sa main droite une volaille par les ailes et de gauche un pain triangulaire à Hathor. la déesse, tournée vers la gauche se tient face à lui, surélevée par un socle. Au bord de ce dernier, entre les deux personnages, se trouve une table où sont posés un pain et deux vases-nemset (?).",Iconographie,,XIIIe - XVIIIe dynastie ?,ḫȝs.[wt] (contrées désertiques),,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Calcite,Presque complète (deux fragments). Mauvaise conservation générale. Très friable. L’inscription de la partie supérieure est en partie masquée par un dépôt granuleux sur la surface du fragment correspondant à la partie supérieure de la stèle. La forme grossière et le matériau de la stèle indiquent qu’elle a été réalisée directement sur le site.,h. 34cm ; l. 20cm ; 8cm,"Stèle cintrée, gravée de manière fruste. Traces de peinture rouge pour les hiéroglyphes du fragment de la partie supérieure.",,
Stèle SA 553,Stèle,Gebel Zeit,"site 1, dépôt du sanctuaire",DPi,"Hathor, Horus",,"Le dieu Horus tourné vers la gauche, coiffé d’un couronne composé d’un mortier orné d’un disque solaire où sont fichées deux hautes plumes à sept doubles divisions lunulaires. il tient de sa main gauche, un sceptre (ouas). Il est face à la déesse Hathor, tournée vers la gauche et parée de la coiffure hathorique. Elle respire une fleur de lotus qu’elle tient de la main droite, de la main gaiche elle tient un sgine ankh. un bandeau supérieure et un lisière déimitent la scène.",Iconographie,,XVIIe - XVIIIe dynastie,,,,,Gebel Zeit II - Le matériel inscrit,,Calcaire,Fragment de la partie centrale.,"h. 17cm ; l. 15cm ; ép. 3,8cm",Stèle gravée. Traces de peinture noire au niveau du bandeau d’Hathor et du sceptre ouas.,,
Stèle SA 554,Stèle,Gebel Zeit,"site 1, sanctuaire",Incertaine,Hathor,Maîtresse des contrées désertiques,"Hathor tournée vers la gauche sous son aspect anthropomorphe, vêtue d’une longue robe-fourreau et portant une couronne composée d’un disque solaire cerné de deux cornes et orné d’un uraeus.","Iconographie, Prière",,,ḫȝs.wt - contrées désertiques,,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,"L’inscription, bien que relative à Hathor, n’est pas orientée dans le même sens que la déesse.",Calcaire,Fragment de l’extrémité gauche de la partie médiane.,"h. 12,6cm ; l. 6,9cm ; ép. 2,2cm",Figures et hiéroglyphes en relief dans le creux.,,
Stèle SA 555,Stèle,Gebel Zeit,"site 1, sanctuaire",Incertaine,"Maât, Rê",Celui de Béhédet ; le grand dieu,,Titulature royale,,,,,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Calcite,Fragment de la partie supérieure de la stèle..,"h. 7,6cm ; l. 10,8cm ; ép. 2,2cm",Stèle cintrée. Signes gravés.,,
Stèle SA 557 (JE 981237) + SA 556,Stèle,Gebel Zeit,"site 1, dépôt du sanctuaire",Moyen Empire,"Horus, Ptah","  • Horus, celui de Béhédet ; Seigneur des contrées désertiques ;
  • Ptah, celui qui est au sud de son mur ; Seigneur de Maât","  • Face 1    
      ◦ Cintre avec un disque solaire aillé. 
      ◦ Le roi tourné vers la gauche porte une coiffure sans retombée de pans latéraux (courante à partie de la seconde moitié de la XIIe dynastie), orné d’un uraeus et vêtu d’un pagne à devanteau d’orfèvrerie (double uraeus). Il présente un vase au dieu Ptah, tourné vers la droite, qui se trouve dans un naos et tient un sceptre ouas. 
  • Face 2
      ◦ Cintre avec un disque solaire aillé.
      ◦ Le roi tourné vers la gauche porte une coiffure sans retombée de pans latéraux orné d’un uraeus et présente un vase à Horus qui, tourné vers la droite, porte un pagne court orné des bandes horizontales contrastantes, tenant un sceptre ouas dans sa main gauche et un signe ankh de sa main droite. Les bras le long du corps. ","Iconographie, Titulature royale",Nb-nnw Smn-kȝ-Rʿ (Nebnénou Sémenkarê),XIIIe dynastie,ḫȝs.wt - contrées désertiques,,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Faience bleue,"Deux fragments de la partie supérieure (raccordés) (SA 557), un fragment de la partie médiane (SA 556)","Fragments 1 et 2 raccordés : H. 12,5 cm (conservée) ; l. 19,5 cm ; ép. 3,6 cm ; fragment 3 : h. 8 cm ; l. 7 cm ; ép. 3,3 cm",Stèle cintrée. Traits noirs sur fond bleu.,Cintrée,
Stèle SA 559,Stèle,Gebel Zeit,"site 1, dépôt du sanctuaire",DPi,"Hathor, Horus","  • Horus celui de Béhédet ; Seigneur des contrées désertiques ; 
  • Hathor maîtresse de la galène","  • Sur le cintre un disque solaire ailé.
  • Au centre nous avons le roi tourné vers la droite coiffé du pschent. à gauche la déesse Hathor également tourné vers la droite tenant le roi par l’épaule. À droite dans le cadre, Horus, tourné vers la gauche, coiffé du disque solaire dans lequel sont fichés deux hautes plumes à division lunulaires. Il présente de la main droite le signe ankh à hauteur du visage, de même qu’un sceptre ouas (apparement) en position oblique de la main gauche.  ",Iconographie,Swsr-n-Rʿ Bbj-ʿnḫ (Séouserenrê Bébiânkh),XVIe dynastie,ḫȝs.wt (contrées désertiques),,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Calcaire,"Presque complète, en deux morceaux ; base manquante.","h. 33,5 cm ; l. 620 cm ; ép. 5 cm","Stèle cintrée. Figures en bas-relief, hiéroglyphes gravés. Personnages et vêtements en rouge, bleu et blanc sur un fond bleu.",,
Stèle SA 741,Stèle,Gebel Zeit,"site 1, soubassement du sanctuaire",Incertaine,,,Possiblement une représentation du roi tourné vers la droite et une divinité (Hathor ?) enlacés (?).,Iconographie,,,,,,,Gebel Zeit II - Le matériel inscrit,,Calcaire,Fragment correspondant à un morceau de la partie inférieure. .,"h. 4,5cm ; l. 4,8cm ; ép. 0,7cm",figures incisées,,
Stèle SA 794,Stèle,Gebel Zeit,"site 1, soubassement du sanctuaire",DPi,"Hathor, Min",,"Une table offrande chargée de victuailles est représentée au milieu de la stèle. Hathor se tient du côté droit de la table, debout et tournée vers la gauche, tenant un sceptre. De l’autre côté le dieu Min momiforme, surélevé par un object rectangulaire et tourné vers la droite. Derrière lui, le jardin portatif du dieu avec ses laitues. ",Iconographie,,XVIIe - XVIIIe dynastie,,,,,Gebel Zeit II - Le matériel inscrit,,Calcite,Fragment correspondant à la base.,"h. 7,7cm ; l. 14cm ; ép. 3cm",Stèle gravée.,,
Stèle SA 800,Stèle,Gebel Zeit,"site 2, enclos 398",DPi,Hathor,,,"Auto-présentation (avec/sans filiation), Signature",Sbk-ḥtp (Sobekhotep),XIIIe - début XVIe dynastie,,Contrôleur des sa-per,,Hiéroglyphes,Gebel Zeit II - Le matériel inscrit,,Grès,bonne ; stèle entière.,"h. 29,2cm ; l. 14,8cm ; ép. 12,2cm",inscription incisée.,,
Stèle SA 830,Stèle,Gebel Zeit,"site 1, soubassement du sanctuaire","DPi, Incertaine, Moyen Empire",,,"Un personnage féminin tourné vers la gauche respirant une fleur de lotus qu’il tient de sa main droite. ",Iconographie,,XIIe - XVIe dynastie ?,,,,,Gebel Zeit II - Le matériel inscrit,,Faience bleue,fragment de l’extrémité de la partie médiane. Moitié supérieure droite du cintre.,"(conservée) h. 3,4cm ; l. 4,5cm ; ép. 1,5cm","Figures en relief dans le creux et peintes en noire sur fond bleu. Recto : face plate, émail empâté pour la coiffure de la déesse. Verso : non décoré mais émaillé. Tranche : émaillé, semble présenter une bordure noire. ",,
,,,,,,,,,,,,,,,,,,,,,,